city,state_id,state,county,lat,lng,population,density
East Ridge,TN,Tennessee,Hamilton,34.9973,-85.2285,21967,987.7
Montclair,VA,Virginia,Prince William,38.6111,-77.34,21961,1371.3
West Pensacola,FL,Florida,Escambia,30.4263,-87.2679,21960,1206.9
Port Hueneme,CA,California,Ventura,34.1618,-119.2036,21954,1922.1
Parsippany,NJ,New Jersey,Morris,40.8645,-74.4135,21931,1296.6
Katy,TX,Texas,Harris,29.7905,-95.8353,21926,538.8
Gallup,NM,New Mexico,McKinley,35.5182,-108.7431,21901,413.8
Hayesville,OR,Oregon,Marion,44.9793,-122.9738,21887,2836.8
South Euclid,OH,Ohio,Cuyahoga,41.524,-81.5245,21882,1777.5
Mount Pleasant,MI,Michigan,Isabella,43.5966,-84.7759,21880,1264.5
Alliance,OH,Ohio,Stark,40.9107,-81.1189,21864,928.5
Ramona,CA,California,San Diego,33.0474,-116.8766,21853,215.9
Sapulpa,OK,Oklahoma,Creek,36.0091,-96.1003,21853,347.7
East Patchogue,NY,New York,Suffolk,40.7704,-72.9817,21830,1021.9
Fairhope,AL,Alabama,Baldwin,30.5209,-87.8813,21825,587.7
Sanford,ME,Maine,York,43.4244,-70.7573,21812,171.0
Valinda,CA,California,Los Angeles,34.04,-117.93,21811,4347.7
Del City,OK,Oklahoma,Oklahoma,35.4483,-97.4408,21778,1117.6
Vicksburg,MS,Mississippi,Warren,32.3173,-90.8868,21748,257.8
American Canyon,CA,California,Napa,38.1796,-122.2583,21735,1285.0
Birmingham,MI,Michigan,Oakland,42.5446,-83.2166,21728,1713.4
Evans,CO,Colorado,Weld,40.366,-104.739,21727,836.9
Duarte,CA,California,Los Angeles,34.161,-117.9504,21723,1231.5
Four Square Mile,CO,Colorado,Arapahoe,39.6808,-104.888,21723,3143.2
Brent,FL,Florida,Escambia,30.4727,-87.2495,21717,823.7
Klamath Falls,OR,Oregon,Klamath,42.2195,-121.7754,21710,413.6
Bayou Cane,LA,Louisiana,Terrebonne,29.6243,-90.751,21699,1029.9
Sedalia,MO,Missouri,Pettis,38.7059,-93.234,21696,585.6
Ashland,KY,Kentucky,Boyd,38.4592,-82.6448,21695,735.5
New Hope,MN,Minnesota,Hennepin,45.0375,-93.3869,21683,1596.7
Granite Bay,CA,California,Placer,38.7601,-121.1714,21673,408.8
Yucca Valley,CA,California,San Bernardino,34.1234,-116.4216,21663,210.4
Mililani Mauka,HI,Hawaii,Honolulu,21.4756,-157.9948,21657,1914.7
Frederickson,WA,Washington,Pierce,47.0916,-122.3603,21651,760.9
Hazel Dell,WA,Washington,Clark,45.6797,-122.6553,21650,1743.2
