city,state_id,state,county,lat,lng,population,density
New York,NY,New York,Queens,40.6943,-73.9249,18972871,10768.2
Los Angeles,CA,California,Los Angeles,34.1141,-118.4068,12121244,3267.6
Chicago,IL,Illinois,Cook,41.8375,-87.6866,8595181,4576.6
Miami,FL,Florida,Miami-Dade,25.784,-80.2101,5711945,4945.7
Dallas,TX,Texas,Dallas,32.7935,-96.7667,5668165,1522.2
Houston,TX,Texas,Harris,29.786,-95.3885,5650910,1394.6
Philadelphia,PA,Pennsylvania,Philadelphia,40.0077,-75.1339,5512873,4544.9
Atlanta,GA,Georgia,Fulton,33.7628,-84.422,5046555,1419.9
Washington,DC,District of Columbia,District of Columbia,38.9047,-77.0163,4810669,4434.0
Boston,MA,Massachusetts,Suffolk,42.3188,-71.0852,4208580,5505.8
Phoenix,AZ,Arizona,Maricopa,33.5722,-112.0892,4047095,1235.5
Detroit,MI,Michigan,Wayne,42.3834,-83.1024,3522856,1871.2
Seattle,WA,Washington,King,47.6211,-122.3244,3438221,3412.2
San Francisco,CA,California,San Francisco,37.7558,-122.4449,3290197,7199.4
San Diego,CA,California,San Diego,32.8313,-117.1222,3084174,1675.9
Minneapolis,MN,Minnesota,Hennepin,44.9635,-93.2678,2856952,3035.5
Brooklyn,NY,New York,Kings,40.6501,-73.9496,2736074,15200.5
Tampa,FL,Florida,Hillsborough,27.9945,-82.4447,2683956,1340.7
Denver,CO,Colorado,Denver,39.762,-104.8758,2650725,1805.7
Queens,NY,New York,Queens,40.7498,-73.7976,2405464,8503.7
Baltimore,MD,Maryland,Baltimore,39.3051,-76.6144,2205092,2872.8
Las Vegas,NV,Nevada,Clark,36.2333,-115.2654,2150373,1754.7
St. Louis,MO,Missouri,St. Louis,38.6359,-90.2451,2092481,1905.7
Portland,OR,Oregon,Multnomah,45.5371,-122.65,2036875,1881.6
Riverside,CA,California,Riverside,33.9381,-117.3949,2022285,1557.0
Orlando,FL,Florida,Orange,28.4773,-81.337,1927699,992.0
Sacramento,CA,California,Sacramento,38.5677,-121.4685,1924167,1971.3
San Juan,PR,Puerto Rico,San Juan,18.3985,-66.061,1915105,2982.2
San Antonio,TX,Texas,Bexar,29.4632,-98.5238,1910785,1184.5
San Jose,CA,California,Santa Clara,37.3012,-121.848,1729879,2229.0
Pittsburgh,PA,Pennsylvania,Allegheny,40.4397,-79.9763,1720279,2100.7
Cincinnati,OH,Ohio,Hamilton,39.1413,-84.506,1712287,1500.2
Manhattan,NY,New York,New York,40.7834,-73.9662,1694263,28653.9
Cleveland,OH,Ohio,Cuyahoga,41.4764,-81.6805,1683059,1904.0
Indianapolis,IN,Indiana,Marion,39.7771,-86.1458,1659305,928.2
Austin,TX,Texas,Travis,30.3005,-97.7522,1659251,1165.6
Kansas City,MO,Missouri,Jackson,39.1238,-94.5541,1644497,602.6
Columbus,OH,Ohio,Franklin,39.9862,-82.9855,1556848,1559.5
Charlotte,NC,North Carolina,Mecklenburg,35.2083,-80.8303,1516107,1091.0
Virginia Beach,VA,Virginia,Virginia Beach,36.7335,-76.0435,1500764,711.4
Bronx,NY,New York,Bronx,40.8501,-73.8662,1472654,13356.3
Milwaukee,WI,Wisconsin,Milwaukee,43.0642,-87.9675,1340981,2379.0
Providence,RI,Rhode Island,Providence,41.823,-71.4187,1270149,3764.8
Jacksonville,FL,Florida,Duval,30.3322,-81.6749,1220191,466.3
Salt Lake City,UT,Utah,Salt Lake,40.7776,-111.9311,1135344,700.3
Nashville,TN,Tennessee,Davidson,36.1715,-86.7842,1098486,541.3
Raleigh,NC,North Carolina,Wake,35.8324,-78.6429,1062018,1232.8
Memphis,TN,Tennessee,Shelby,35.1087,-89.9663,1034498,852.1
Louisville,KY,Kentucky,Jefferson,38.1663,-85.6485,1022630,907.6
Richmond,VA,Virginia,Richmond,37.5295,-77.4756,1008069,1477.0
Buffalo,NY,New York,Erie,42.9018,-78.8487,1004655,2446.1
Oklahoma City,OK,Oklahoma,Oklahoma,35.4676,-97.5136,994284,413.7
Bridgeport,CT,Connecticut,Fairfield,41.1918,-73.1954,975078,3485.4
New Orleans,LA,Louisiana,Orleans,30.0687,-89.9288,925443,891.2
Fort Worth,TX,Texas,Tarrant,32.7817,-97.3474,908469,988.3
Hartford,CT,Connecticut,Hartford,41.7661,-72.6834,907046,2722.5
Tucson,AZ,Arizona,Pima,32.1541,-110.8787,875284,873.6
Honolulu,HI,Hawaii,Honolulu,21.3294,-157.846,835291,2214.1
McAllen,TX,Texas,Hidalgo,26.2252,-98.2467,809002,883.4
Omaha,NE,Nebraska,Douglas,41.2627,-96.0529,806485,1299.2
El Paso,TX,Texas,El Paso,31.8476,-106.43,794344,1015.8
Albuquerque,NM,New Mexico,Bernalillo,35.1054,-106.6465,765693,1155.5
Rochester,NY,New York,Monroe,43.168,-77.6162,737309,2227.6
Sarasota,FL,Florida,Sarasota,27.3387,-82.5432,727388,1518.1
Fresno,CA,California,Fresno,36.783,-119.7939,719558,1757.3
Tulsa,OK,Oklahoma,Tulsa,36.1283,-95.9042,715983,785.8
Allentown,PA,Pennsylvania,Lehigh,40.5961,-75.4756,714136,2663.3
Dayton,OH,Ohio,Montgomery,39.7805,-84.2003,709300,971.7
Birmingham,AL,Alabama,Jefferson,33.5279,-86.7971,704676,553.9
Charleston,SC,South Carolina,Charleston,32.8168,-79.9687,685517,460.9
Cape Coral,FL,Florida,Lee,26.6443,-81.9957,682773,690.5
Columbia,SC,South Carolina,Richland,34.0378,-80.9036,640502,377.3
Concord,CA,California,Contra Costa,37.9722,-122.0016,640270,1633.1
Colorado Springs,CO,Colorado,El Paso,38.8674,-104.7605,628808,930.0
Springfield,MA,Massachusetts,Hampden,42.1155,-72.5395,620494,1861.8
Knoxville,TN,Tennessee,Knox,35.9692,-83.9496,619925,733.3
Baton Rouge,LA,Louisiana,East Baton Rouge,30.442,-91.1311,610751,993.9
Ogden,UT,Utah,Weber,41.2279,-111.9682,608259,1221.9
Grand Rapids,MI,Michigan,Kent,42.9619,-85.6562,604311,1719.6
Albany,NY,New York,Albany,42.6664,-73.7987,604077,1747.3
Bakersfield,CA,California,Kern,35.3529,-119.0359,590845,979.0
Mission Viejo,CA,California,Orange,33.6096,-117.6551,588540,2091.0
New Haven,CT,Connecticut,New Haven,41.3113,-72.9246,587648,2693.4
Worcester,MA,Massachusetts,Worcester,42.2705,-71.8079,573573,1913.8
Provo,UT,Utah,Utah,40.2457,-111.6457,551645,1082.6
Akron,OH,Ohio,Summit,41.0798,-81.5219,546549,1230.5
Palm Bay,FL,Florida,Brevard,27.9631,-80.6593,528322,508.2
Des Moines,IA,Iowa,Polk,41.5725,-93.6105,514654,943.2
Murrieta,CA,California,Riverside,33.5719,-117.1909,509526,1310.3
Mesa,AZ,Arizona,Maricopa,33.4015,-111.7178,497752,1415.7
Staten Island,NY,New York,Richmond,40.5834,-74.1496,495747,3286.2
Wichita,KS,Kansas,Sedgwick,37.6895,-97.3443,491916,930.9
Toledo,OH,Ohio,Lucas,41.6638,-83.5827,490832,1319.7
Harrisburg,PA,Pennsylvania,Dauphin,40.2752,-76.8843,472261,2342.0
Port St. Lucie,FL,Florida,St. Lucie,27.2796,-80.3884,468979,634.0
Long Beach,CA,California,Los Angeles,33.7977,-118.167,466565,3517.9
Reno,NV,Nevada,Washoe,39.5497,-119.8483,463328,889.9
Madison,WI,Wisconsin,Dane,43.0822,-89.393,461778,1253.6
Little Rock,AR,Arkansas,Pulaski,34.7256,-92.3577,457379,637.0
Greenville,SC,South Carolina,Greenville,34.8354,-82.3646,450487,903.6
Denton,TX,Texas,Denton,33.2175,-97.1418,445814,557.5
Spokane,WA,Washington,Spokane,47.6671,-117.433,440270,1230.8
Oakland,CA,California,Alameda,37.7904,-122.2166,437548,2917.1
Lancaster,PA,Pennsylvania,Lancaster,40.042,-76.3012,430621,3169.1
Poughkeepsie,NY,New York,Dutchess,41.695,-73.9211,423386,2277.1
Boise,ID,Idaho,Ada,43.6005,-116.2308,422665,1047.5
Winston-Salem,NC,North Carolina,Forsyth,36.1029,-80.261,420400,712.9
Syracuse,NY,New York,Onondaga,43.0407,-76.1437,418875,2196.4
Augusta,GA,Georgia,Richmond,33.3645,-82.0708,409668,252.3
Stockton,CA,California,San Joaquin,37.9765,-121.3109,406822,1925.2
Palm Coast,FL,Florida,Flagler,29.5389,-81.2457,403834,357.2
Chattanooga,TN,Tennessee,Hamilton,35.066,-85.2481,403233,491.9
Kissimmee,FL,Florida,Osceola,28.3041,-81.4169,399929,1300.3
Durham,NC,North Carolina,Durham,35.9792,-78.9022,399762,939.7
Arlington,TX,Texas,Tarrant,32.6998,-97.125,392304,1600.4
Victorville,CA,California,San Bernardino,34.5277,-117.3536,389060,644.1
Aurora,CO,Colorado,Arapahoe,39.7083,-104.7237,383496,915.8
Modesto,CA,California,Stanislaus,37.6375,-121.0028,382994,1923.9
Lancaster,CA,California,Los Angeles,34.6935,-118.1753,381732,645.9
Fayetteville,AR,Arkansas,Washington,36.0714,-94.1661,381636,614.5
Scranton,PA,Pennsylvania,Lackawanna,41.4044,-75.6649,376974,1174.7
Oxnard,CA,California,Ventura,34.1964,-119.1815,366330,3023.3
Youngstown,OH,Ohio,Mahoning,41.0993,-80.6463,363541,730.1
Indio,CA,California,Riverside,33.7346,-116.2346,361831,1046.2
Pensacola,FL,Florida,Escambia,30.4413,-87.1911,360711,897.6
Anaheim,CA,California,Orange,33.839,-117.8574,348204,2711.7
Bonita Springs,FL,Florida,Lee,26.3558,-81.7859,347581,580.4
Greensboro,NC,North Carolina,Guilford,36.0956,-79.8271,345270,872.6
Huntsville,AL,Alabama,Madison,34.6981,-86.6412,339136,351.8
Corpus Christi,TX,Texas,Nueces,27.7254,-97.3767,333764,777.0
Fort Wayne,IN,Indiana,Allen,41.0888,-85.1436,330305,935.5
Fayetteville,NC,North Carolina,Cumberland,35.085,-78.9772,328827,550.0
Ann Arbor,MI,Michigan,Washtenaw,42.2759,-83.731,327814,1658.0
Jackson,MS,Mississippi,Hinds,32.3157,-90.2125,326977,566.0
Antioch,CA,California,Contra Costa,37.9787,-121.796,322796,1475.4
Mobile,AL,Alabama,Mobile,30.6782,-88.1162,322079,525.9
Lexington,KY,Kentucky,Fayette,38.0423,-84.4587,321354,438.6
Asheville,NC,North Carolina,Buncombe,35.5707,-82.5537,316694,784.0
Trenton,NJ,New Jersey,Mercer,40.2237,-74.7641,316436,4232.8
Santa Rosa,CA,California,Sonoma,38.4458,-122.7067,314196,1619.6
Santa Ana,CA,California,Orange,33.7367,-117.8819,313818,4690.9
Lansing,MI,Michigan,Ingham,42.7142,-84.5601,312829,1158.9
Henderson,NV,Nevada,Clark,36.0133,-115.0381,311250,1124.7
St. Paul,MN,Minnesota,Ramsey,44.9478,-93.1039,309751,2272.3
Lakeland,FL,Florida,Polk,28.0557,-81.9545,308994,642.7
Newark,NJ,New Jersey,Essex,40.7245,-74.1725,306247,4508.4
Fort Collins,CO,Colorado,Larimer,40.5477,-105.0656,301596,1120.5
Reading,PA,Pennsylvania,Berks,40.34,-75.9267,299068,3465.0
Springfield,MO,Missouri,Greene,37.1943,-93.2916,298722,784.1
Irvine,CA,California,Orange,33.6772,-117.7738,297868,1604.7
Anchorage,AK,Alaska,Anchorage,61.1508,-149.1091,292545,66.1
The Woodlands,TX,Texas,Montgomery,30.1738,-95.5134,292380,1021.9
South Bend,IN,Indiana,St. Joseph,41.6767,-86.2696,290915,944.5
Rockford,IL,Illinois,Winnebago,42.2596,-89.064,289763,877.0
Savannah,GA,Georgia,Chatham,32.0286,-81.1821,289607,517.7
Lincoln,NE,Nebraska,Lancaster,40.8099,-96.6784,289136,1131.9
Jersey City,NJ,New Jersey,Hudson,40.7184,-74.0686,287146,6878.3
Round Lake Beach,IL,Illinois,Lake,42.3791,-88.0811,287012,2090.5
Flint,MI,Michigan,Genesee,43.0236,-83.6921,286324,1108.4
Shreveport,LA,Louisiana,Caddo,32.4653,-93.7955,286200,678.0
Plano,TX,Texas,Collin,33.0502,-96.7486,282181,1555.8
Myrtle Beach,SC,South Carolina,Horry,33.7094,-78.8844,281180,551.9
Davenport,IA,Iowa,Scott,41.5565,-90.6053,280282,618.5
Canton,OH,Ohio,Stark,40.8078,-81.3676,277741,1038.8
Santa Clarita,CA,California,Los Angeles,34.4175,-118.4964,275230,1159.7
Chula Vista,CA,California,San Diego,32.6281,-117.0144,274818,2090.7
Eugene,OR,Oregon,Lane,44.0564,-123.1174,273904,1489.3
Chandler,AZ,Arizona,Maricopa,33.2825,-111.8514,272439,1515.9
Salem,OR,Oregon,Marion,44.9233,-123.0244,268634,1358.7
Concord,NC,North Carolina,Cabarrus,35.3933,-80.6369,264492,571.0
Gilbert,AZ,Arizona,Maricopa,33.31,-111.7463,262249,1398.0
Columbus,GA,Georgia,Muscogee,32.51,-84.8771,262061,348.5
Aguadilla,PR,Puerto Rico,Aguadilla,18.4382,-67.1537,260331,1681.1
Lubbock,TX,Texas,Lubbock,33.5657,-101.8879,259946,736.6
North Las Vegas,NV,Nevada,Clark,36.2883,-115.0888,259638,933.1
St. Petersburg,FL,Florida,Pinellas,27.7931,-82.6652,258245,1647.5
Tallahassee,FL,Florida,Leon,30.4551,-84.2527,257648,731.2
Laredo,TX,Texas,Webb,27.5625,-99.4874,256748,941.8
Peoria,IL,Illinois,Peoria,40.752,-89.6154,255718,906.6
Avondale,AZ,Arizona,Maricopa,33.3873,-112.3235,254537,698.1
Lafayette,LA,Louisiana,Lafayette,30.2082,-92.0325,254286,874.7
Irving,TX,Texas,Dallas,32.8583,-96.9702,254184,1386.2
Montgomery,AL,Alabama,Montgomery,32.3482,-86.2668,253711,480.8
Visalia,CA,California,Tulare,36.3276,-119.3269,249804,1352.8
McKinney,TX,Texas,Collin,33.2016,-96.667,248840,1102.4
Wilmington,NC,North Carolina,New Hanover,34.2099,-77.8866,247372,917.6
Chesapeake,VA,Virginia,Chesapeake,36.6778,-76.3023,247172,276.8
Glendale,AZ,Arizona,Maricopa,33.5791,-112.2311,245685,1494.0
Garland,TX,Texas,Dallas,32.91,-96.6304,245075,1613.1
Kennewick,WA,Washington,Benton,46.1978,-119.1732,241230,1144.9
Winter Haven,FL,Florida,Polk,28.0118,-81.7014,240768,504.8
Scottsdale,AZ,Arizona,Maricopa,33.6872,-111.8651,238685,535.1
Norfolk,VA,Virginia,Norfolk,36.8945,-76.259,238556,1770.5
Killeen,TX,Texas,Bell,31.0753,-97.7297,238288,1046.1
York,PA,Pennsylvania,York,39.9651,-76.7315,236818,3211.3
Atlantic City,NJ,New Jersey,Atlantic,39.3797,-74.4527,236314,1356.1
Nashua,NH,New Hampshire,Hillsborough,42.7491,-71.491,235982,1115.1
Arlington,VA,Virginia,Arlington,38.8786,-77.1011,235764,3511.4
Brownsville,TX,Texas,Cameron,25.9975,-97.458,235735,534.4
Fremont,CA,California,Alameda,37.5265,-121.9843,231502,1160.9
Gulfport,MS,Mississippi,Harrison,30.4274,-89.0704,231423,497.4
Evansville,IN,Indiana,Vanderburgh,37.9881,-87.5341,226788,965.5
Hialeah,FL,Florida,Miami-Dade,25.8696,-80.3045,224362,4184.1
Navarre,FL,Florida,Santa Rosa,30.4174,-86.8907,223951,625.9
Bel Air South,MD,Maryland,Harford,39.5022,-76.3113,222834,998.6
North Port,FL,Florida,Sarasota,27.0576,-82.1977,221616,267.2
San Bernardino,CA,California,San Bernardino,34.1416,-117.2943,220821,1347.0
Portland,ME,Maine,Cumberland,43.6773,-70.2715,220807,1195.5
Enterprise,NV,Nevada,Clark,36.0091,-115.2278,219566,1255.4
Bremerton,WA,Washington,Kitsap,47.5436,-122.7121,219538,560.3
Green Bay,WI,Wisconsin,Brown,44.5148,-87.9895,219472,887.2
Appleton,WI,Wisconsin,Outagamie,44.278,-88.3892,218448,1150.9
Spring Valley,NV,Nevada,Clark,36.0952,-115.2636,217441,2378.2
Tacoma,WA,Washington,Pierce,47.2431,-122.4531,217332,1675.7
Spartanburg,SC,South Carolina,Spartanburg,34.9442,-81.9251,216021,713.9
Roanoke,VA,Virginia,Roanoke,37.2785,-79.9581,215781,900.1
Gainesville,FL,Florida,Alachua,29.6804,-82.3459,213287,814.2
Deltona,FL,Florida,Volusia,28.905,-81.2137,212616,950.1
Kalamazoo,MI,Michigan,Kalamazoo,42.2749,-85.5882,212033,1190.0
Thousand Oaks,CA,California,Ventura,34.1914,-118.8756,211045,891.9
Hickory,NC,North Carolina,Catawba,35.741,-81.3223,211042,515.4
Yonkers,NY,New York,Westchester,40.9466,-73.8673,209730,4292.6
Moreno Valley,CA,California,Riverside,33.9244,-117.2045,208371,1570.3
Fontana,CA,California,San Bernardino,34.0968,-117.4599,208087,1906.8
College Station,TX,Texas,Brazos,30.5852,-96.2959,207514,874.0
Fargo,ND,North Dakota,Cass,46.8651,-96.8292,207310,949.4
Amarillo,TX,Texas,Potter,35.1984,-101.8316,204357,748.0
Norwich,CT,Connecticut,New London,41.5495,-72.0882,201726,538.1
Olympia,WA,Washington,Thurston,47.0417,-122.8959,200836,1108.0
Waterbury,CT,Connecticut,New Haven,41.5582,-73.0361,199552,1460.0
Salinas,CA,California,Monterey,36.6883,-121.6317,199290,2564.3
Huntington,WV,West Virginia,Cabell,38.4109,-82.4345,199133,1098.3
Huntington Beach,CA,California,Orange,33.696,-118.0018,198735,2857.1
Clarksville,TN,Tennessee,Montgomery,36.5692,-87.3413,198689,605.6
Santa Barbara,CA,California,Santa Barbara,34.4285,-119.7202,198240,1799.4
Glendale,CA,California,Los Angeles,34.1819,-118.2468,196512,2525.4
Sunrise Manor,NV,Nevada,Clark,36.1783,-115.0487,196411,2269.8
Grand Prairie,TX,Texas,Dallas,32.6871,-97.0208,195992,1032.1
Overland Park,KS,Kansas,Johnson,38.887,-94.687,195249,993.3
Hagerstown,MD,Maryland,Washington,39.6401,-77.7217,194602,1229.4
Nampa,ID,Idaho,Canyon,43.5844,-116.5638,194547,1090.5
Gastonia,NC,North Carolina,Gaston,35.2494,-81.1854,194190,572.0
Frisco,TX,Texas,Collin,33.156,-96.8216,193140,1059.7
Cedar Rapids,IA,Iowa,Linn,41.9662,-91.6783,192714,712.9
Hemet,CA,California,Riverside,33.7341,-116.9969,191170,1116.6
Paradise,NV,Nevada,Clark,36.0872,-115.1355,189852,1758.7
Sioux Falls,SD,South Dakota,Minnehaha,43.5396,-96.7311,189258,879.9
Vancouver,WA,Washington,Clark,45.6366,-122.5967,188331,1447.8
Peoria,AZ,Arizona,Maricopa,33.7843,-112.2989,187733,377.4
Waco,TX,Texas,McLennan,31.5599,-97.1882,187172,599.5
Lorain,OH,Ohio,Lorain,41.4409,-82.184,186500,1044.0
Erie,PA,Pennsylvania,Erie,42.1167,-80.0733,186489,1948.6
Newport News,VA,Virginia,Newport News,37.1051,-76.5185,185069,1005.1
Aurora,IL,Illinois,Kane,41.7638,-88.2902,183447,1711.4
Fort Lauderdale,FL,Florida,Broward,26.1412,-80.1464,182247,2029.7
Vallejo,CA,California,Solano,38.1125,-122.2342,181882,1539.3
Murfreesboro,TN,Tennessee,Rutherford,35.849,-86.4121,181450,863.0
Spring Hill,FL,Florida,Hernando,28.4798,-82.53,179668,732.9
Tempe,AZ,Arizona,Maricopa,33.3881,-111.9319,178862,1852.3
High Point,NC,North Carolina,Guilford,35.991,-79.9937,178800,768.9
Medford,OR,Oregon,Jackson,42.3372,-122.854,178457,1224.5
Danbury,CT,Connecticut,Fairfield,41.4015,-73.4709,177722,777.6
Elk Grove,CA,California,Sacramento,38.4161,-121.3842,175510,1594.1
Ontario,CA,California,San Bernardino,34.0393,-117.6064,175223,1376.8
Frederick,MD,Maryland,Frederick,39.4337,-77.4141,175032,1158.3
Vero Beach South,FL,Florida,Indian River,27.6132,-80.4163,174748,939.5
Ocala,FL,Florida,Marion,29.178,-82.1511,174618,490.4
Oceanside,CA,California,San Diego,33.2247,-117.3083,174461,1643.7
Rancho Cucamonga,CA,California,San Bernardino,34.1247,-117.5667,173946,1478.4
Garden Grove,CA,California,Orange,33.7787,-117.9601,172708,3714.5
Cary,NC,North Carolina,Wake,35.7819,-78.8195,171603,1101.0
Pembroke Pines,FL,Florida,Broward,26.0128,-80.3382,170346,2031.8
Bayamón,PR,Puerto Rico,Bayamón,18.3794,-66.1635,170028,2245.3
Palmdale,CA,California,Los Angeles,34.5944,-118.1057,167987,557.8
Manchester,NH,New Hampshire,Hillsborough,42.9848,-71.4447,167568,1312.6
Lafayette,IN,Indiana,Tippecanoe,40.3991,-86.8593,166793,953.6
Santa Cruz,CA,California,Santa Cruz,36.9789,-122.0346,165933,1970.2
Marysville,WA,Washington,Snohomish,48.0809,-122.1561,164655,1295.4
Muskegon,MI,Michigan,Muskegon,43.2281,-86.2562,164136,1018.7
Springfield,IL,Illinois,Sangamon,39.7709,-89.654,162588,726.0
Hayward,CA,California,Alameda,37.6328,-122.0766,162254,1338.3
New Bedford,MA,Massachusetts,Bristol,41.6697,-70.9428,158353,1840.8
Alexandria,VA,Virginia,Alexandria,38.8185,-77.0861,158185,4092.5
Paterson,NJ,New Jersey,Passaic,40.9147,-74.1624,157927,6676.6
Corona,CA,California,Riverside,33.8616,-117.5649,157844,1625.1
Merced,CA,California,Merced,37.3057,-120.4779,157617,1396.0
Warner Robins,GA,Georgia,Houston,32.5961,-83.6527,157416,786.6
Port Arthur,TX,Texas,Jefferson,29.8554,-93.9264,156988,278.2
Macon,GA,Georgia,Bibb,32.8065,-83.6974,156711,236.9
Kansas City,KS,Kansas,Wyandotte,39.1235,-94.7443,155745,473.6
Lakewood,CO,Colorado,Jefferson,39.6977,-105.1172,155608,1383.1
Sunnyvale,CA,California,Santa Clara,37.3836,-122.0255,155550,2670.3
Fredericksburg,VA,Virginia,Fredericksburg,38.2992,-77.4872,155414,1073.6
Leesburg,FL,Florida,Lake,28.7672,-81.8962,154301,232.4
Champaign,IL,Illinois,Champaign,40.1142,-88.2737,153278,1482.7
Hollywood,FL,Florida,Broward,26.0293,-80.1679,152597,2179.6
Pasadena,TX,Texas,Harris,29.6575,-95.1498,151964,1348.4
Pomona,CA,California,Los Angeles,34.0585,-117.7626,151592,2538.6
Escondido,CA,California,San Diego,33.1348,-117.0723,151443,1554.9
Joliet,IL,Illinois,Will,41.5188,-88.1499,150323,874.0
Lake Charles,LA,Louisiana,Calcasieu,30.201,-93.2111,150036,657.2
Mesquite,TX,Texas,Dallas,32.7602,-96.5865,149848,1120.3
Mauldin,SC,South Carolina,Greenville,34.7821,-82.3032,149687,826.4
Panama City,FL,Florida,Bay,30.1995,-85.6003,149366,395.2
Bellevue,WA,Washington,King,47.5951,-122.1535,149365,1686.3
Naperville,IL,Illinois,DuPage,41.748,-88.1659,149013,1459.0
Harlingen,TX,Texas,Cameron,26.1916,-97.6977,148545,625.7
Tuscaloosa,AL,Alabama,Tuscaloosa,33.2348,-87.5268,148523,627.3
Elkhart,IN,Indiana,Elkhart,41.6916,-85.9627,147679,739.1
Torrance,CA,California,Los Angeles,33.8346,-118.3416,147156,2717.9
Binghamton,NY,New York,Broome,42.1014,-75.9093,146870,1651.3
Houma,LA,Louisiana,Terrebonne,29.58,-90.7059,146665,882.1
Topeka,KS,Kansas,Shawnee,39.0346,-95.6955,146473,788.4
Roseville,CA,California,Placer,38.7703,-121.3196,145687,1216.3
Fairfield,CA,California,Solano,38.2583,-122.0335,145163,1081.9
Tyler,TX,Texas,Smith,32.3184,-95.3062,143895,711.4
Fullerton,CA,California,Orange,33.8841,-117.9279,142964,2429.3
Pueblo,CO,Colorado,Pueblo,38.2701,-104.6114,142727,768.2
Athens,GA,Georgia,Clarke,33.9508,-83.3689,142277,414.8
Santa Maria,CA,California,Santa Barbara,34.9333,-120.4431,142230,1786.2
Surprise,AZ,Arizona,Maricopa,33.6815,-112.4515,141875,486.6
Charleston,WV,West Virginia,Kanawha,38.3484,-81.6322,141640,579.4
Las Cruces,NM,New Mexico,Doña Ana,32.3265,-106.7893,141399,516.7
Metairie,LA,Louisiana,Jefferson,29.9977,-90.178,140590,2299.3
Thornton,CO,Colorado,Adams,39.9197,-104.9438,140538,1550.7
Olathe,KS,Kansas,Johnson,38.8833,-94.82,140339,866.8
Carolina,PR,Puerto Rico,Carolina,18.4054,-65.9792,139735,2502.3
Gainesville,GA,Georgia,Hall,34.2902,-83.8294,139507,479.0
West Valley City,UT,Utah,Salt Lake,40.6886,-112.0123,139361,1461.5
Orange,CA,California,Orange,33.8038,-117.8218,139195,2095.7
Warren,MI,Michigan,Macomb,42.4934,-83.027,138996,1507.1
Pasadena,CA,California,Los Angeles,34.1597,-118.139,138771,2388.0
Beaumont,TX,Texas,Jefferson,30.0849,-94.1451,137549,549.3
Burlington,NC,North Carolina,Alamance,36.076,-79.4685,137096,696.3
Hampton,VA,Virginia,Hampton,37.0551,-76.363,136748,1014.2
Columbia,MO,Missouri,Boone,38.9472,-92.3268,136736,711.5
Yuma,AZ,Arizona,Yuma,32.5995,-114.5491,135933,311.5
Elizabeth,NJ,New Jersey,Union,40.6658,-74.1913,135772,4027.0
Racine,WI,Wisconsin,Racine,42.7274,-87.8135,135352,1918.5
Greeley,CO,Colorado,Weld,40.4152,-104.7706,135270,847.8
Kent,WA,Washington,King,47.3887,-122.2128,134890,1484.0
Stamford,CT,Connecticut,Fairfield,41.1039,-73.5585,134820,1334.9
Odessa,TX,Texas,Ector,31.8801,-102.3448,134793,920.0
Bloomington,IL,Illinois,McLean,40.4757,-88.9703,134357,1106.6
Miramar,FL,Florida,Broward,25.9773,-80.3351,134306,1879.8
Grand Junction,CO,Colorado,Mesa,39.0877,-108.5673,134074,594.6
Sterling Heights,MI,Michigan,Macomb,42.5809,-83.0305,134062,1401.5
Coral Springs,FL,Florida,Broward,26.2702,-80.2591,133693,2252.2
Johnson City,TN,Tennessee,Washington,36.3406,-82.3806,131902,594.9
Carrollton,TX,Texas,Dallas,32.989,-96.8999,131388,1446.4
Midland,TX,Texas,Midland,32.0243,-102.1147,130765,722.2
Yakima,WA,Washington,Yakima,46.5923,-120.5496,130440,1302.9
Bellingham,WA,Washington,Whatcom,48.7548,-122.469,129601,1246.1
Yuba City,CA,California,Sutter,39.1357,-121.6383,129536,1718.2
South Lyon,MI,Michigan,Oakland,42.4614,-83.6526,128071,1219.6
Santa Clara,CA,California,Santa Clara,37.3646,-121.968,127922,2677.1
St. George,UT,Utah,Washington,37.0758,-113.5752,127890,429.0
Fort Smith,AR,Arkansas,Sebastian,35.3495,-94.3695,127699,529.7
Simi Valley,CA,California,Ventura,34.2663,-118.749,127158,1168.8
Dover,DE,Delaware,Kent,39.161,-75.5202,125931,617.8
Norman,OK,Oklahoma,Cleveland,35.2335,-97.3471,125745,268.2
Abilene,TX,Texas,Taylor,32.4543,-99.7384,125474,451.3
Billings,MT,Montana,Yellowstone,45.7891,-108.5526,124973,945.0
Ponce,PR,Puerto Rico,Ponce,18.0127,-66.6212,124719,1497.1
Lehigh Acres,FL,Florida,Lee,26.612,-81.6388,123751,518.7
St. Cloud,MN,Minnesota,Stearns,45.534,-94.1718,123569,660.1
Arecibo,PR,Puerto Rico,Arecibo,18.4491,-66.7387,123499,970.8
Kenosha,WI,Wisconsin,Kenosha,42.5865,-87.8773,123061,1359.8
Greenville,NC,North Carolina,Pitt,35.5943,-77.376,122921,967.3
Arvada,CO,Colorado,Jefferson,39.832,-105.151,122903,1193.0
Pearland,TX,Texas,Brazoria,29.5581,-95.3218,122609,998.0
Independence,MO,Missouri,Jackson,39.0871,-94.3501,122230,580.1
Texas City,TX,Texas,Galveston,29.4154,-94.9682,122017,288.2
Redding,CA,California,Shasta,40.5698,-122.365,121498,595.7
Lynchburg,VA,Virginia,Lynchburg,37.4003,-79.1909,120877,638.3
